"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
211,kac,   ,  ,Kachin; Jingpho,kachin; jingpho,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
212,kal,   ,kl,Kalaallisut; Greenlandic,groenlandais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
213,kam,   ,  ,Kamba,kamba,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
214,kan,   ,kn,Kannada,kannada,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
215,kar,   ,  ,Karen languages,"karen, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
216,kas,   ,ks,Kashmiri,kashmiri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
217,kau,   ,kr,Kanuri,kanouri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
218,kaw,   ,  ,Kawi,kawi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
219,kaz,   ,kk,Kazakh,kazakh,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
220,kbd,   ,  ,Kabardian,kabardien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
221,kha,   ,  ,Khasi,khasi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
222,khi,   ,  ,Khoisan languages,"khoïsan, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
223,khm,   ,km,Central Khmer,khmer central,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
224,kho,   ,  ,Khotanese; Sakan,khotanais; sakan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
225,kik,   ,ki,Kikuyu; Gikuyu,kikuyu,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
226,kin,   ,rw,Kinyarwanda,rwanda,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
227,kir,   ,ky,Kirghiz; Kyrgyz,kirghiz,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
228,kmb,   ,  ,Kimbundu,kimbundu,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
229,kok,   ,  ,Konkani,konkani,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
230,kom,   ,kv,Komi,kom,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
231,kon,   ,kg,Kongo,kongo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
232,kor,   ,ko,Korean,coréen,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
233,kos,   ,  ,Kosraean,kosrae,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
234,kpe,   ,  ,Kpelle,kpellé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
235,krc,   ,  ,Karachay-Balkar,karatchai balkar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
236,krl,   ,  ,Karelian,carélien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
237,kro,   ,  ,Kru languages,"krou, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
238,kru,   ,  ,Kurukh,kurukh,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
